date,home_team,away_team,market,selection,american_odds,closing_american_odds,book,notes
2026-08-21,Arsenal,Coventry,1x2,home,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-21,Arsenal,Coventry,1x2,draw,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-21,Arsenal,Coventry,1x2,away,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-21,Arsenal,Coventry,total_2_5,over,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-21,Arsenal,Coventry,total_2_5,under,,,,High caution: totals unders have been a model leak. Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-21,Arsenal,Coventry,btts,yes,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-21,Arsenal,Coventry,btts,no,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Hull,Man United,1x2,home,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Hull,Man United,1x2,draw,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Hull,Man United,1x2,away,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Hull,Man United,total_2_5,over,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Hull,Man United,total_2_5,under,,,,High caution: totals unders have been a model leak. Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Hull,Man United,btts,yes,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Hull,Man United,btts,no,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Everton,Crystal Palace,1x2,home,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Everton,Crystal Palace,1x2,draw,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Everton,Crystal Palace,1x2,away,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Everton,Crystal Palace,total_2_5,over,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Everton,Crystal Palace,total_2_5,under,,,,High caution: totals unders have been a model leak. Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Everton,Crystal Palace,btts,yes,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Everton,Crystal Palace,btts,no,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Ipswich,Sunderland,1x2,home,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Ipswich,Sunderland,1x2,draw,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Ipswich,Sunderland,1x2,away,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Ipswich,Sunderland,total_2_5,over,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Ipswich,Sunderland,total_2_5,under,,,,High caution: totals unders have been a model leak. Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Ipswich,Sunderland,btts,yes,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Ipswich,Sunderland,btts,no,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Nott'm Forest,Leeds,1x2,home,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Nott'm Forest,Leeds,1x2,draw,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Nott'm Forest,Leeds,1x2,away,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Nott'm Forest,Leeds,total_2_5,over,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Nott'm Forest,Leeds,total_2_5,under,,,,High caution: totals unders have been a model leak. Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Nott'm Forest,Leeds,btts,yes,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Nott'm Forest,Leeds,btts,no,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Brentford,Tottenham,1x2,home,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Brentford,Tottenham,1x2,draw,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Brentford,Tottenham,1x2,away,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Brentford,Tottenham,total_2_5,over,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Brentford,Tottenham,total_2_5,under,,,,High caution: totals unders have been a model leak. Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Brentford,Tottenham,btts,yes,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-22,Brentford,Tottenham,btts,no,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-23,Brighton,Aston Villa,1x2,home,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-23,Brighton,Aston Villa,1x2,draw,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-23,Brighton,Aston Villa,1x2,away,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
2026-08-23,Brighton,Aston Villa,total_2_5,over,,,,Enter real sportsbook odds. Avoid heavy juice worse than about -160 unless the model clearly supports it.
