date,home_team,away_team,notes
2026-08-21,Arsenal,Coventry,Opening fixture - promoted team away
2026-08-22,Hull,Man United,Promoted team home vs big club
2026-08-22,Everton,Crystal Palace,
2026-08-22,Ipswich,Sunderland,Promoted/recently promoted profile review
2026-08-22,Nott'm Forest,Leeds,
2026-08-22,Brentford,Tottenham,
2026-08-23,Brighton,Aston Villa,
2026-08-23,Man City,Bournemouth,
2026-08-23,Newcastle,Liverpool,
2026-08-24,Fulham,Chelsea,
2026-08-28,Crystal Palace,Man City,
2026-08-29,Liverpool,Nott'm Forest,
2026-08-29,Aston Villa,Arsenal,
2026-08-29,Bournemouth,Everton,
2026-08-29,Coventry,Hull,Promoted team matchup
2026-08-29,Tottenham,Newcastle,
2026-08-30,Chelsea,Brighton,
2026-08-30,Leeds,Brentford,
2026-08-30,Sunderland,Fulham,
2026-08-30,Man United,Ipswich,
