date,market,player,selection,american,model_probability,implied_probability,edge,outcome,profit
2026-02-01,player_goal_scorer_anytime,Harry Wilson,Yes,370.0,0.3213,0.2128,0.1086,lost,-1.0
2026-02-01,player_goal_scorer_anytime,Raul Jimenez,Yes,380.0,0.2947,0.2083,0.0864,won,3.8
2026-02-07,player_goal_scorer_anytime,Brian Brobbey,Yes,550.0,0.2492,0.1538,0.0953,lost,-1.0
2026-02-07,player_shots_on_target,Ladislav Krejci,Over@0.5,390.0,0.3045,0.2041,0.1004,lost,-1.0
2026-02-07,player_shots_on_target,Lewis Miley,Over@0.5,290.0,0.356,0.2564,0.0996,void,0.0
2026-02-07,player_shots_on_target,Mateus Mane,Over@0.5,107.0,0.5853,0.4831,0.1022,lost,-1.0
2026-02-10,player_shots_on_target,Tomas Soucek,Over@0.5,210.0,0.408,0.3226,0.0854,won,2.1
2026-02-11,player_shots_on_target,Harry Wilson,Over@0.5,115.0,0.5684,0.4651,0.1033,won,1.15
2026-02-18,player_shots_on_target,Mateus Mane,Over@0.5,145.0,0.5316,0.4082,0.1234,lost,-1.0
2026-02-21,player_shots_on_target,Tomas Soucek,Over@0.5,180.0,0.479,0.3571,0.1219,lost,-1.0
2026-02-22,player_goal_scorer_anytime,Mohamed Salah,Yes,275.0,0.3588,0.2667,0.0921,lost,-1.0
2026-02-28,player_goal_scorer_anytime,Tomas Soucek,Yes,800.0,0.1951,0.1111,0.084,won,8.0
2026-02-28,player_shots_on_target,Malick Thiaw,Over@0.5,380.0,0.2983,0.2083,0.0899,lost,-1.0
2026-02-28,player_shots_on_target,Tomas Soucek,Over@0.5,250.0,0.3789,0.2857,0.0932,won,2.5
2026-03-01,player_shots_on_target,Alex Iwobi,Over@0.5,145.0,0.4929,0.4082,0.0847,won,1.45
2026-03-03,player_goal_scorer_anytime,Mohamed Salah,Yes,190.0,0.4334,0.3448,0.0886,won,1.9
2026-03-04,player_shots_on_target,Alex Iwobi,Over@0.5,128.0,0.5231,0.4386,0.0845,won,1.28
2026-03-04,player_shots_on_target,Kaoru Mitoma,Over@0.5,170.0,0.4885,0.3704,0.1182,lost,-1.0
2026-03-15,player_goal_scorer_anytime,Ollie Watkins,Yes,320.0,0.3186,0.2381,0.0805,lost,-1.0
2026-03-15,player_shots_on_target,Alex Iwobi,Over@0.5,180.0,0.4479,0.3571,0.0907,lost,-1.0
2026-03-21,player_shots_on_target,Alex Iwobi,Over@0.5,130.0,0.5185,0.4348,0.0837,lost,-1.0
2026-04-11,player_goal_scorer_anytime,Zian Flemming,Yes,250.0,0.3712,0.2857,0.0855,lost,-1.0
2026-04-12,player_shots_on_target,Jefferson Lerma,Over@0.5,350.0,0.3032,0.2222,0.0809,lost,-1.0
2026-04-18,player_shots_on_target,Alex Iwobi,Over@0.5,170.0,0.4617,0.3704,0.0913,lost,-1.0
2026-04-19,player_goal_scorer_anytime,Zian Flemming,Yes,300.0,0.3365,0.25,0.0865,won,3.0
2026-04-20,player_shots_on_target,Jefferson Lerma,Over@0.5,400.0,0.3233,0.2,0.1233,won,4.0
2026-04-22,player_goal_scorer_anytime,Zian Flemming,Yes,370.0,0.3536,0.2128,0.1409,lost,-1.0
2026-04-22,player_shots_on_target,Zian Flemming,Over@0.5,-104.0,0.6478,0.5098,0.138,lost,-1.0
2026-04-22,player_shots_on_target,Zian Flemming,Over@1.5,400.0,0.2802,0.2,0.0802,lost,-1.0
2026-04-25,player_shots_on_target,Jefferson Lerma,Over@0.5,500.0,0.2588,0.1667,0.0921,void,0.0
2026-04-27,player_goal_scorer_anytime,Matheus Cunha,Yes,300.0,0.3407,0.25,0.0907,void,0.0
2026-04-27,player_shots_on_target,Matheus Cunha,Over@0.5,-205.0,0.7607,0.6721,0.0885,void,0.0
2026-04-27,player_shots_on_target,Matheus Cunha,Over@1.5,205.0,0.4184,0.3279,0.0906,void,0.0
2026-05-01,player_goal_scorer_anytime,Zian Flemming,Yes,340.0,0.3605,0.2273,0.1332,lost,-1.0
2026-05-03,player_goal_scorer_anytime,Matheus Cunha,Yes,320.0,0.3209,0.2381,0.0828,won,3.2
2026-05-03,player_shots_on_target,Jefferson Lerma,Over@0.5,460.0,0.279,0.1786,0.1004,lost,-1.0
2026-05-10,player_goal_scorer_anytime,Zian Flemming,Yes,270.0,0.3587,0.2703,0.0885,won,2.7
2026-05-10,player_shots_on_target,Jarrod Bowen,Over@0.5,120.0,0.5401,0.4545,0.0856,won,1.2
2026-05-10,player_shots_on_target,Jefferson Lerma,Over@0.5,400.0,0.299,0.2,0.099,lost,-1.0
2026-05-15,player_goal_scorer_anytime,Mohamed Salah,Yes,310.0,0.344,0.2439,0.1001,lost,-1.0
2026-05-18,player_goal_scorer_anytime,Zian Flemming,Yes,550.0,0.2782,0.1538,0.1244,lost,-1.0
2026-05-24,player_shots_on_target,Curtis Jones,Over@0.5,280.0,0.3625,0.2632,0.0993,won,2.8
