date,home_team,away_team,market,selection,american_odds,closing_american_odds,book,notes
2026-08-21,Arsenal,Coventry,1x2,away,1700,,BetRivers,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-21,Arsenal,Coventry,1x2,draw,700,,BetOnline.ag,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-21,Arsenal,Coventry,1x2,home,-550,,BetMGM,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-21,Arsenal,Coventry,btts,no,-192,,FanDuel,Provider-derived best price of 5 quote(s); no odds were invented.
2026-08-21,Arsenal,Coventry,btts,yes,155,,BetRivers,Provider-derived best price of 5 quote(s); no odds were invented.
2026-08-22,Brentford,Tottenham,1x2,away,178,,BetOnline.ag,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-22,Brentford,Tottenham,1x2,draw,268,,BetOnline.ag,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-22,Brentford,Tottenham,1x2,home,148,,BetOnline.ag,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-22,Brentford,Tottenham,btts,no,152,,FanDuel,Provider-derived best price of 5 quote(s); no odds were invented.
2026-08-22,Brentford,Tottenham,btts,yes,-188,,MyBookie.ag,Provider-derived best price of 5 quote(s); no odds were invented.
2026-08-22,Everton,Crystal Palace,1x2,away,245,,BetOnline.ag,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-22,Everton,Crystal Palace,1x2,draw,245,,BetOnline.ag,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-22,Everton,Crystal Palace,1x2,home,120,,BetOnline.ag,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-22,Everton,Crystal Palace,btts,no,115,,DraftKings,Provider-derived best price of 5 quote(s); no odds were invented.
2026-08-22,Everton,Crystal Palace,btts,yes,-141,,MyBookie.ag,Provider-derived best price of 5 quote(s); no odds were invented.
2026-08-22,Hull,Man United,1x2,away,-230,,BetOnline.ag,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-22,Hull,Man United,1x2,draw,380,,Bovada,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-22,Hull,Man United,1x2,home,750,,BetRivers,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-22,Hull,Man United,btts,no,-118,,FanDuel,Provider-derived best price of 4 quote(s); no odds were invented.
2026-08-22,Hull,Man United,btts,yes,-106,,FanDuel,Provider-derived best price of 4 quote(s); no odds were invented.
2026-08-22,Ipswich,Sunderland,1x2,away,168,,BetOnline.ag,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-22,Ipswich,Sunderland,1x2,draw,235,,Bovada,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-22,Ipswich,Sunderland,1x2,home,178,,BetOnline.ag,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-22,Ipswich,Sunderland,btts,no,124,,FanDuel,Provider-derived best price of 5 quote(s); no odds were invented.
2026-08-22,Ipswich,Sunderland,btts,yes,-143,,BetRivers,Provider-derived best price of 5 quote(s); no odds were invented.
2026-08-22,Nott'm Forest,Leeds,1x2,away,229,,BetOnline.ag,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-22,Nott'm Forest,Leeds,1x2,draw,246,,BetOnline.ag,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-22,Nott'm Forest,Leeds,1x2,home,130,,BetRivers,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-22,Nott'm Forest,Leeds,btts,no,115,,DraftKings,Provider-derived best price of 5 quote(s); no odds were invented.
2026-08-22,Nott'm Forest,Leeds,btts,yes,-144,,FanDuel,Provider-derived best price of 5 quote(s); no odds were invented.
2026-08-23,Brighton,Aston Villa,1x2,away,210,,BetOnline.ag,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-23,Brighton,Aston Villa,1x2,draw,273,,BetOnline.ag,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-23,Brighton,Aston Villa,1x2,home,130,,Bovada,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-23,Brighton,Aston Villa,btts,no,155,,DraftKings,Provider-derived best price of 5 quote(s); no odds were invented.
2026-08-23,Brighton,Aston Villa,btts,yes,-199,,MyBookie.ag,Provider-derived best price of 5 quote(s); no odds were invented.
2026-08-23,Man City,Bournemouth,1x2,away,555,,BetOnline.ag,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-23,Man City,Bournemouth,1x2,draw,425,,BetOnline.ag,Provider-derived best price of 9 quote(s); no odds were invented.
