date,home_team,away_team,market,selection,american_odds,closing_american_odds,book,notes
2026-08-21,Arsenal,Coventry,1x2,away,1300,,BetMGM,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,draw,600,,BetMGM,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,home,-550,,BetMGM,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,btts,no,-200,,BetMGM,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,btts,yes,145,,BetMGM,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,total_2_5,over,-185,,BetMGM,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,total_2_5,under,130,,BetMGM,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,away,1505,,BetOnline.ag,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker betonlineag; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,draw,700,,BetOnline.ag,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker betonlineag; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,home,-560,,BetOnline.ag,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker betonlineag; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,away,1700,,BetRivers,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker betrivers; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,draw,650,,BetRivers,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker betrivers; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,home,-590,,BetRivers,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker betrivers; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,btts,no,-220,,BetRivers,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker betrivers; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,btts,yes,155,,BetRivers,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker betrivers; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,total_2_5,over,-175,,BetRivers,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker betrivers; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,total_2_5,under,133,,BetRivers,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker betrivers; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,away,1400,,BetUS,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker betus; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,draw,650,,BetUS,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker betus; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,home,-600,,BetUS,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker betus; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,away,1400,,Bovada,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker bovada; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,draw,625,,Bovada,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker bovada; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,home,-550,,Bovada,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker bovada; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,away,1400,,DraftKings,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker draftkings; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,draw,650,,DraftKings,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker draftkings; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,home,-600,,DraftKings,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker draftkings; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,btts,no,-195,,DraftKings,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker draftkings; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,btts,yes,145,,DraftKings,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker draftkings; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,away,1300,,FanDuel,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker fanduel; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,draw,650,,FanDuel,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker fanduel; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,home,-700,,FanDuel,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker fanduel; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,btts,no,-192,,FanDuel,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker fanduel; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,btts,yes,150,,FanDuel,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker fanduel; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,away,1505,,LowVig.ag,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker lowvig; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,draw,700,,LowVig.ag,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker lowvig; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,home,-560,,LowVig.ag,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker lowvig; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,away,1350,,MyBookie.ag,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker mybookieag; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,draw,570,,MyBookie.ag,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker mybookieag; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,1x2,home,-625,,MyBookie.ag,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker mybookieag; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,btts,no,-199,,MyBookie.ag,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker mybookieag; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,btts,yes,141,,MyBookie.ag,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker mybookieag; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,total_2_5,over,-183,,MyBookie.ag,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker mybookieag; fetched 2026-08-17T16:39:44-04:00
2026-08-21,Arsenal,Coventry,total_2_5,under,131,,MyBookie.ag,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker mybookieag; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,away,170,,BetMGM,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,draw,240,,BetMGM,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,home,138,,BetMGM,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,btts,no,135,,BetMGM,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,btts,yes,-200,,BetMGM,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,total_2_5,over,-160,,BetMGM,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,total_2_5,under,115,,BetMGM,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,away,178,,BetOnline.ag,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker betonlineag; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,draw,268,,BetOnline.ag,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker betonlineag; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,home,148,,BetOnline.ag,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker betonlineag; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,away,175,,BetRivers,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker betrivers; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,draw,260,,BetRivers,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker betrivers; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,home,143,,BetRivers,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker betrivers; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,btts,no,138,,BetRivers,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker betrivers; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,btts,yes,-190,,BetRivers,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker betrivers; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,total_2_5,over,-152,,BetRivers,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker betrivers; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,total_2_5,under,120,,BetRivers,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker betrivers; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,away,175,,BetUS,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker betus; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,draw,265,,BetUS,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker betus; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,home,145,,BetUS,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker betus; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,away,175,,Bovada,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker bovada; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,draw,260,,Bovada,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker bovada; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,home,145,,Bovada,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker bovada; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,away,175,,DraftKings,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker draftkings; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,draw,260,,DraftKings,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker draftkings; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,home,140,,DraftKings,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker draftkings; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,btts,no,150,,DraftKings,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker draftkings; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,btts,yes,-200,,DraftKings,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker draftkings; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,away,175,,FanDuel,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker fanduel; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,draw,250,,FanDuel,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker fanduel; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,home,140,,FanDuel,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker fanduel; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,btts,no,152,,FanDuel,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker fanduel; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,btts,yes,-196,,FanDuel,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker fanduel; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,away,178,,LowVig.ag,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker lowvig; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,draw,268,,LowVig.ag,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker lowvig; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,home,148,,LowVig.ag,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker lowvig; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,away,166,,MyBookie.ag,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker mybookieag; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,draw,250,,MyBookie.ag,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker mybookieag; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,1x2,home,139,,MyBookie.ag,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker mybookieag; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,btts,no,134,,MyBookie.ag,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker mybookieag; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,btts,yes,-188,,MyBookie.ag,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker mybookieag; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,total_2_5,over,-161,,MyBookie.ag,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker mybookieag; fetched 2026-08-17T16:39:44-04:00
