date,home_team,away_team,provider_event_id,commence_time,notes
2026-08-21,Arsenal,Coventry,eb2553d10d63dc912b99f8fd0d675721,2026-08-21T19:00:00Z,the_odds_api event eb2553d10d63dc912b99f8fd0d675721
2026-08-22,Brentford,Tottenham,8b4b033209bb204516cbd1f523614f25,2026-08-22T16:30:00Z,the_odds_api event 8b4b033209bb204516cbd1f523614f25
2026-08-22,Everton,Crystal Palace,cd1f0173ec061d9b8a8b22ab8f2f8393,2026-08-22T14:00:00Z,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393
2026-08-22,Hull,Man United,95bb16d19debff3ec39919f361f072a4,2026-08-22T11:30:00Z,the_odds_api event 95bb16d19debff3ec39919f361f072a4
2026-08-22,Ipswich,Sunderland,01615d9573ef1e5aa8c09eb32a4a983b,2026-08-22T14:00:00Z,the_odds_api event 01615d9573ef1e5aa8c09eb32a4a983b
2026-08-22,Nott'm Forest,Leeds,ee99154f8db029efcf567c5f7f7a0c0b,2026-08-22T14:00:00Z,the_odds_api event ee99154f8db029efcf567c5f7f7a0c0b
2026-08-23,Brighton,Aston Villa,f5086c74d4a767e3ad7ea69bd4a66b76,2026-08-23T13:00:00Z,the_odds_api event f5086c74d4a767e3ad7ea69bd4a66b76
2026-08-23,Man City,Bournemouth,87c7c9bfd5e3072bded20c702f553c63,2026-08-23T13:00:00Z,the_odds_api event 87c7c9bfd5e3072bded20c702f553c63
2026-08-23,Newcastle,Liverpool,ea0bacc4c23f813c6af97ec9b306a850,2026-08-23T15:30:00Z,the_odds_api event ea0bacc4c23f813c6af97ec9b306a850
2026-08-24,Fulham,Chelsea,4e4a813bf4218cc527e6f8ef2351170d,2026-08-24T19:00:00Z,the_odds_api event 4e4a813bf4218cc527e6f8ef2351170d
