sampled_at,commence_time,home_team,away_team,market,book,player,selection,american
2025-08-15T16:00:00Z,2025-08-15T19:00:00Z,Liverpool,Bournemouth,alternate_totals_corners,,,Over@10.5,-106.0
2025-08-15T16:00:00Z,2025-08-15T19:00:00Z,Liverpool,Bournemouth,alternate_totals_corners,,,Over@11.5,150.0
2025-08-15T16:00:00Z,2025-08-15T19:00:00Z,Liverpool,Bournemouth,alternate_totals_corners,,,Over@12.5,240.0
2025-08-15T16:00:00Z,2025-08-15T19:00:00Z,Liverpool,Bournemouth,alternate_totals_corners,,,Over@13.5,380.0
2025-08-15T16:00:00Z,2025-08-15T19:00:00Z,Liverpool,Bournemouth,alternate_totals_corners,,,Over@14.5,540.0
2025-08-15T16:00:00Z,2025-08-15T19:00:00Z,Liverpool,Bournemouth,alternate_totals_corners,,,Over@15.5,730.0
2025-08-15T16:00:00Z,2025-08-15T19:00:00Z,Liverpool,Bournemouth,alternate_totals_corners,,,Over@4.5,-6000.0
2025-08-15T16:00:00Z,2025-08-15T19:00:00Z,Liverpool,Bournemouth,alternate_totals_corners,,,Over@5.5,-3000.0
2025-08-15T16:00:00Z,2025-08-15T19:00:00Z,Liverpool,Bournemouth,alternate_totals_corners,,,Over@6.5,-1150.0
2025-08-15T16:00:00Z,2025-08-15T19:00:00Z,Liverpool,Bournemouth,alternate_totals_corners,,,Over@7.5,-600.0
2025-08-15T16:00:00Z,2025-08-15T19:00:00Z,Liverpool,Bournemouth,alternate_totals_corners,,,Over@8.5,-290.0
2025-08-15T16:00:00Z,2025-08-15T19:00:00Z,Liverpool,Bournemouth,alternate_totals_corners,,,Over@9.5,-166.0
2025-08-15T16:00:00Z,2025-08-15T19:00:00Z,Liverpool,Bournemouth,alternate_totals_corners,,,Under@10.5,102.0
2025-08-15T16:00:00Z,2025-08-15T19:00:00Z,Liverpool,Bournemouth,alternate_totals_corners,,,Under@11.5,-150.0
2025-08-15T16:00:00Z,2025-08-15T19:00:00Z,Liverpool,Bournemouth,alternate_totals_corners,,,Under@12.5,-235.0
2025-08-15T16:00:00Z,2025-08-15T19:00:00Z,Liverpool,Bournemouth,alternate_totals_corners,,,Under@13.5,-375.0
2025-08-15T16:00:00Z,2025-08-15T19:00:00Z,Liverpool,Bournemouth,alternate_totals_corners,,,Under@14.5,-625.0
2025-08-15T16:00:00Z,2025-08-15T19:00:00Z,Liverpool,Bournemouth,alternate_totals_corners,,,Under@15.5,-1115.0
2025-08-15T16:00:00Z,2025-08-15T19:00:00Z,Liverpool,Bournemouth,alternate_totals_corners,,,Under@4.5,1550.0
2025-08-15T16:00:00Z,2025-08-15T19:00:00Z,Liverpool,Bournemouth,alternate_totals_corners,,,Under@5.5,870.0
2025-08-15T16:00:00Z,2025-08-15T19:00:00Z,Liverpool,Bournemouth,alternate_totals_corners,,,Under@6.5,600.0
2025-08-15T16:00:00Z,2025-08-15T19:00:00Z,Liverpool,Bournemouth,alternate_totals_corners,,,Under@7.5,400.0
2025-08-15T16:00:00Z,2025-08-15T19:00:00Z,Liverpool,Bournemouth,alternate_totals_corners,,,Under@8.5,250.0
2025-08-15T16:00:00Z,2025-08-15T19:00:00Z,Liverpool,Bournemouth,alternate_totals_corners,,,Under@9.5,160.0
2025-08-16T08:30:00Z,2025-08-16T11:30:00Z,Aston Villa,Newcastle United,alternate_totals_corners,,,Over@10.5,-118.0
2025-08-16T08:30:00Z,2025-08-16T11:30:00Z,Aston Villa,Newcastle United,alternate_totals_corners,,,Over@11.5,128.0
2025-08-16T08:30:00Z,2025-08-16T11:30:00Z,Aston Villa,Newcastle United,alternate_totals_corners,,,Over@12.5,200.0
2025-08-16T08:30:00Z,2025-08-16T11:30:00Z,Aston Villa,Newcastle United,alternate_totals_corners,,,Over@13.5,320.0
2025-08-16T08:30:00Z,2025-08-16T11:30:00Z,Aston Villa,Newcastle United,alternate_totals_corners,,,Over@14.5,500.0
2025-08-16T08:30:00Z,2025-08-16T11:30:00Z,Aston Villa,Newcastle United,alternate_totals_corners,,,Over@15.5,660.0
2025-08-16T08:30:00Z,2025-08-16T11:30:00Z,Aston Villa,Newcastle United,alternate_totals_corners,,,Over@4.5,-8000.0
2025-08-16T08:30:00Z,2025-08-16T11:30:00Z,Aston Villa,Newcastle United,alternate_totals_corners,,,Over@5.5,-3500.0
2025-08-16T08:30:00Z,2025-08-16T11:30:00Z,Aston Villa,Newcastle United,alternate_totals_corners,,,Over@6.5,-1600.0
2025-08-16T08:30:00Z,2025-08-16T11:30:00Z,Aston Villa,Newcastle United,alternate_totals_corners,,,Over@7.5,-549.0
2025-08-16T08:30:00Z,2025-08-16T11:30:00Z,Aston Villa,Newcastle United,alternate_totals_corners,,,Over@8.5,-315.0
2025-08-16T08:30:00Z,2025-08-16T11:30:00Z,Aston Villa,Newcastle United,alternate_totals_corners,,,Over@9.5,-190.0
2025-08-16T08:30:00Z,2025-08-16T11:30:00Z,Aston Villa,Newcastle United,alternate_totals_corners,,,Under@10.5,-107.0
2025-08-16T08:30:00Z,2025-08-16T11:30:00Z,Aston Villa,Newcastle United,alternate_totals_corners,,,Under@11.5,-167.0
2025-08-16T08:30:00Z,2025-08-16T11:30:00Z,Aston Villa,Newcastle United,alternate_totals_corners,,,Under@12.5,-255.0
2025-08-16T08:30:00Z,2025-08-16T11:30:00Z,Aston Villa,Newcastle United,alternate_totals_corners,,,Under@13.5,-385.0
2025-08-16T08:30:00Z,2025-08-16T11:30:00Z,Aston Villa,Newcastle United,alternate_totals_corners,,,Under@14.5,-625.0
2025-08-16T08:30:00Z,2025-08-16T11:30:00Z,Aston Villa,Newcastle United,alternate_totals_corners,,,Under@15.5,-1600.0
2025-08-16T08:30:00Z,2025-08-16T11:30:00Z,Aston Villa,Newcastle United,alternate_totals_corners,,,Under@4.5,1900.0
2025-08-16T08:30:00Z,2025-08-16T11:30:00Z,Aston Villa,Newcastle United,alternate_totals_corners,,,Under@5.5,980.0
2025-08-16T08:30:00Z,2025-08-16T11:30:00Z,Aston Villa,Newcastle United,alternate_totals_corners,,,Under@6.5,660.0
